session,split,frame,orientation,device,ccs_pitch,ccs_yaw,hcs_pitch,hcs_yaw
00002,train,73,3,iPhone 6,3.8135947949149642,3.0556103668035517,-38.426996732930824,-11.673274911184098
00002,train,28,1,iPhone 6,-11.43118127259826,3.396899108469499,-50.44402075670864,2.3053047906210056
00002,train,24,1,iPhone 6,-10.495929978506727,2.928342903656536,20.203761846222783,3.7916629062799174
00002,train,5,1,iPhone 6,-4.064091579258701,6.842193824144231,-43.4390132297625,6.821201799883385
00002,train,41,4,iPhone 6,-5.601330972357483,-6.480743095817778,-42.14598614502549,2.8525184999822932
00002,train,33,4,iPhone 6,-2.164115285039565,-20.422084478284752,-32.57639605556456,-9.790755163275112
00002,train,67,3,iPhone 6,4.55945091841961,6.77364960000074,-36.0046725261828,-5.634732452539882
00002,train,75,3,iPhone 6,3.8408627092470087,3.140992612299851,-39.8948983252692,-12.017342280420584
00002,train,10,1,iPhone 6,-21.219293742604822,7.150441544467104,-58.17483456452748,9.69156266760782
00002,train,70,3,iPhone 6,4.055756667324816,11.82074572768252,-39.95150957959901,1.5075412348867954
00003,train,79,3,iPhone 5S,-1.7616454411196174,16.619457115167084,-35.32632196807519,10.956893170232426
00003,train,9,1,iPhone 5S,-20.090785194394392,2.681412118177751,-51.16833082516016,3.8095525100101133
00003,train,45,4,iPhone 5S,1.0708736745842953,-15.78515801639814,-32.28007983297411,-3.490950134491086
00003,train,82,3,iPhone 5S,-0.6752860154350986,16.87009683732583,-36.65694818681032,2.6433068758358433
00003,train,44,4,iPhone 5S,1.4123085973147238,-15.943227216166832,-33.161336628010154,-4.178160209252528
00003,train,86,3,iPhone 5S,-0.8394516069158927,7.388274993522592,-40.41852745343503,-12.120894144272343
00003,train,29,1,iPhone 5S,-16.9604193391202,-3.2664325219775483,-47.8410430058347,-13.99312187359127
00003,train,55,4,iPhone 5S,3.329526476032263,-12.298983585899006,-28.616543018217573,-1.7546137737597471
00003,train,30,1,iPhone 5S,-16.63080561026565,-3.2600738893966335,-46.256393764138856,-15.518345405743931
00003,train,16,1,iPhone 5S,-12.80634257481537,1.9127129173905504,-45.64924107570067,-8.732548032589676
00005,train,3,1,iPhone 6,-6.365971488587469,-0.805585181335319,-46.326293988975586,-6.640836590982953
00005,train,4,1,iPhone 6,-6.28567567422207,-0.766393218630366,-43.492815045919905,-6.158650535378641
00005,train,14,1,iPhone 6,-2.818700082927769,9.142665202623185,-49.59370768397161,10.463484883541712
00005,train,15,1,iPhone 6,-2.776758720041998,9.260903162445707,-48.98382039494453,10.531699595927678
00005,train,1,1,iPhone 6,-9.669275274912513,6.990886676143895,-46.07143231033205,5.582197539453181
00005,train,13,1,iPhone 6,-17.68320052919979,11.267630639753598,-63.45322752912319,20.539043314441084
00005,train,11,1,iPhone 6,-17.32961212375206,11.15733609894204,-64.29104228337293,20.505811790024797
00005,train,2,1,iPhone 6,-9.822966784270745,7.067386414046293,-48.288124815487116,5.9091169577583225
00005,train,9,1,iPhone 6,-12.123945647547712,10.81856956447217,-50.311542968475315,12.758527266493495
00005,train,10,1,iPhone 6,-16.96526189522408,11.175314995542355,-64.8386501816237,20.648452190911932
00006,train,23,1,iPhone 5S,-11.18836059649811,-3.539840990440547,-35.465387684858,1.4295740979212397
00006,train,13,1,iPhone 5S,-8.228245620689934,-0.9214464625529595,-31.530435933647546,5.77103116354816
00006,train,51,4,iPhone 5S,1.8148900791636609,-3.008429476713461,29.812162558912902,-20.084474189299286
00006,train,41,4,iPhone 5S,-1.3745432437238958,-15.774234201275787,-29.863419266714747,-3.9059231425554364
